#Node	ExtMem	Cytosol	Nucleus	Mitochondria
O95363	0.800000	0.700000	0.000000	0.996220
P52292	0.800000	0.998320	0.999520	0.000000
P55081	0.972000	0.300000	0.991600	0.000000
Q12874	0.000000	0.800000	0.999987	0.000000
Q2WGJ6	0.000000	0.937000	0.300000	0.000000
Q8TBZ8	0.000000	0.000000	0.790000	0.000000
Q8WW24	0.700000	0.969130	0.790000	0.000000
Q68DK2	0.800000	0.996220	0.000000	0.000000
Q9Y4H4	0.300000	0.790000	0.700000	0.000000
P10073	0.800000	0.960000	0.999244	0.000000
P49910	0.000000	0.800000	0.998320	0.000000
Q13526	0.860000	0.988000	0.999980	0.300000
Q96JS3	0.800000	0.940000	0.982000	0.000000
Q9UNY5	0.000000	0.998400	0.998920	0.000000
O43639	0.300000	0.979420	0.000000	0.000000
P61978	0.960000	0.995884	0.999970	0.000000
Q66K41	0.000000	0.000000	0.937000	0.000000
Q96IK5	0.000000	0.700000	0.991180	0.000000
O00471	0.300000	0.986770	0.000000	0.000000
P40222	0.860000	0.999664	0.940000	0.000000
P55040	0.997600	0.992000	0.300000	0.000000
Q7Z3I7	0.000000	0.700000	0.997600	0.000000
Q8N3L3	0.000000	0.996400	0.000000	0.000000
Q9BY27	0.000000	0.000000	0.860000	0.000000
Q9NU19	0.700000	0.937000	0.300000	0.000000
P08754	0.994120	0.999647	0.998400	0.700000
Q13287	0.000000	0.999784	0.988000	0.000000
Q5H9J7	0.000000	0.860000	0.000000	0.000000
Q5JTB6	0.800000	0.000000	0.000000	0.000000
P09234	0.000000	0.960000	0.999991	0.000000
Q6EMK4	0.999496	0.510000	0.960000	0.860000
Q9BYQ4	0.700000	0.510000	0.000000	0.000000
Q9NQT4	0.000000	0.970600	0.999999	0.000000
Q5VU43	0.000000	0.999514	0.994600	0.000000
P61968	0.940000	0.000000	0.982000	0.000000
Q13895	0.800000	0.995884	0.998880	0.000000
Q14D33	0.800000	0.790000	0.000000	0.000000
Q15691	0.860000	1.000000	0.800000	0.000000
Q5TAP6	0.000000	0.988000	0.997600	0.000000
Q96BZ8	0.800000	0.700000	0.940000	0.000000
Q9H9D4	0.000000	0.960000	0.988000	0.000000
Q9NX63	0.800000	0.997480	0.960000	0.998920
Q9P0T4	0.000000	0.000000	0.958000	0.000000
Q06418	0.998320	0.000000	0.910000	0.000000
Q93062	0.000000	0.999496	0.960000	0.000000
Q6PJ21	0.000000	0.790000	0.700000	0.800000
O60437	0.860000	0.999136	0.860000	0.300000
Q08379	0.800000	0.958000	0.700000	0.000000
A5D8V6	0.940000	0.958000	0.800000	0.000000
Q03989	0.000000	0.000000	0.999904	0.000000
Q7Z3B3	0.000000	0.000000	0.999987	0.000000
O00459	0.000000	0.937000	0.973000	0.000000
O14910	0.999728	0.970600	0.000000	0.000000
O15145	0.902000	0.999885	0.860000	0.000000
O43809	0.000000	0.999680	0.999998	0.000000
O75348	0.700000	0.979420	0.988000	0.700000
O75821	0.000000	0.999451	0.940000	0.000000
O75928	0.000000	0.000000	0.999970	0.000000
O75934	0.000000	0.992000	1.000000	0.000000
O95391	0.800000	0.998400	1.000000	0.000000
O95872	0.000000	0.700000	0.910000	0.000000
P00540	0.000000	0.991900	0.000000	0.000000
P02538	0.800000	0.999753	0.300000	0.000000
P04259	0.000000	0.993826	0.800000	0.000000
P05783	0.510000	1.000000	0.300000	0.000000
P08579	0.000000	0.988000	1.000000	0.000000
P14678	0.000000	1.000000	1.000000	0.000000
P17482	0.000000	0.000000	0.999664	0.960000
P17931	0.999216	0.972000	0.994400	0.800000
P26196	0.800000	0.999993	0.987400	0.300000
P29474	0.860000	0.991180	0.700000	0.000000
P31146	0.999451	1.000000	0.997600	0.000000
P40617	0.800000	0.960000	0.999981	0.000000
P48668	0.000000	0.999827	0.800000	0.000000
P49901	0.940000	0.982000	0.000000	0.991600
P51946	0.000000	0.000000	0.999991	0.000000
P56279	0.000000	0.000000	0.860000	0.000000
P63218	0.800000	0.300000	0.700000	0.700000
P63279	0.000000	0.999856	0.986280	0.700000
Q01664	0.000000	0.000000	0.999280	0.960000
Q0P5N6	0.000000	0.300000	0.000000	0.000000
Q13094	0.300000	0.996400	0.000000	0.000000
Q13415	0.960000	0.960000	0.999998	0.000000
Q13573	0.000000	0.800000	1.000000	0.000000
Q14964	0.958000	0.902000	0.000000	0.000000
Q15014	0.800000	0.000000	1.000000	0.000000
Q6NSX1	0.992000	0.700000	0.000000	0.000000
Q6NX45	0.000000	0.988000	0.790000	0.000000
Q6P1J9	0.000000	0.988000	0.998824	0.000000
Q6ZN57	0.000000	0.000000	0.790000	0.000000
Q86YD7	0.700000	0.910000	0.000000	0.000000
Q8IXS8	0.860000	0.972000	0.988000	0.000000
Q8N143	0.000000	0.800000	0.937000	0.000000
Q8NA57	0.000000	0.700000	0.000000	0.700000
Q8WXI9	0.000000	0.000000	0.999753	0.000000
Q92917	0.000000	0.000000	0.999520	0.000000
Q93034	0.000000	0.997480	0.700000	0.000000
Q969G3	0.000000	0.000000	1.000000	0.000000
Q96A72	0.000000	0.300000	0.997480	0.000000
Q96CN9	0.992000	0.997600	0.000000	0.000000
Q96DA2	0.991600	0.998400	0.800000	0.000000
Q96I25	0.000000	0.000000	0.999496	0.000000
Q96M11	0.988000	0.998880	0.982000	0.000000
Q96NC0	0.000000	0.700000	0.997600	0.800000
Q96PN8	0.000000	0.991900	0.997600	0.000000
Q99459	0.800000	0.972000	1.000000	0.000000
Q99569	1.000000	0.999987	0.910000	0.000000
Q9BQ89	0.000000	0.986280	0.940000	0.700000
Q9BT49	0.000000	0.960000	0.999664	0.000000
Q9BVV2	0.000000	0.960000	0.940000	0.000000
Q9BW85	0.000000	0.000000	0.996400	0.000000
Q9HC52	0.000000	0.000000	1.000000	0.000000
Q9NVE4	0.000000	0.000000	0.700000	0.000000
Q9UER7	0.000000	0.958000	0.999993	0.000000
Q9UHP6	0.000000	0.910000	0.300000	0.000000
Q9UHR5	0.000000	0.800000	0.999520	0.000000
Q9UM82	0.000000	0.800000	0.999904	0.000000
Q9Y242	0.000000	0.700000	0.937000	0.000000
Q9Y247	0.960000	0.000000	0.998920	0.000000
Q9Y3C0	0.000000	0.988000	0.700000	0.000000
Q9Y586	0.000000	0.988000	0.992000	0.000000
Q9Y5K8	0.994400	0.999177	0.800000	0.910000
Q9Y6H1	0.700000	0.000000	0.800000	0.997600
P09012	0.000000	0.988000	0.999520	0.000000
Q9P1W9	0.000000	0.982000	0.700000	0.000000
Q5I0X7	0.000000	0.910000	0.940000	0.800000
O75716	0.800000	0.999244	0.000000	0.000000
Q8TAB5	0.000000	0.800000	0.994600	0.000000
Q8NCU1	0.000000	0.700000	0.700000	0.000000
P63167	0.800000	0.999986	0.999680	0.300000
A1A5D9	0.000000	0.997600	0.910000	0.000000
A1L443	0.000000	0.910000	0.700000	0.000000
O43633	0.972000	0.998824	0.992000	0.000000
P02008	0.000000	0.853000	0.000000	0.700000
Q9Y2V2	0.000000	0.999660	0.700000	0.000000
P45984	0.700000	0.981100	0.790000	0.300000
A2RU48	0.800000	0.000000	0.000000	0.000000
O00635	0.960000	0.987400	0.700000	0.000000
O75150	0.897100	0.997480	0.999520	0.000000
O96006	0.000000	0.800000	0.998824	0.700000
P07910	0.860000	0.999664	1.000000	0.000000
P08727	0.986280	0.999879	0.000000	0.000000
P17661	0.980400	0.999951	0.700000	0.000000
P19474	0.000000	0.999753	0.997600	0.000000
Q13643	0.300000	0.510000	0.860000	0.000000
Q719H9	0.000000	0.700000	0.860000	0.000000
Q8NDC0	0.000000	0.940000	0.800000	0.000000
Q96BR9	0.800000	0.000000	0.996220	0.000000
O43559	0.800000	0.790000	0.790000	0.000000
P49639	0.000000	0.000000	0.981100	0.000000
P60370	0.700000	0.510000	0.000000	0.000000
Q96MH2	0.700000	0.982000	0.999856	0.000000
P61024	0.000000	0.996400	0.958000	0.800000
Q9UI95	0.000000	0.992000	0.999990	0.000000
Q8IYR0	0.940000	0.910000	0.940000	0.000000
Q9P2K6	0.000000	0.991180	0.000000	0.000000
O43482	0.000000	0.800000	0.999987	0.700000
Q13155	0.800000	0.999280	0.300000	0.000000
Q99819	0.960000	0.997600	0.000000	0.000000
O14543	0.000000	0.996220	0.700000	0.000000
P07947	0.997480	0.998765	0.000000	0.000000
Q9H4E7	0.800000	0.970600	0.988000	0.000000
P17152	0.972000	0.000000	0.000000	0.992000
Q9Y3C6	0.000000	0.910000	0.998880	0.000000
O43521	0.958000	0.955900	0.700000	0.853000
P09067	0.000000	0.800000	0.999856	0.000000
P49675	0.300000	0.510000	0.000000	0.994120
Q68CQ4	0.000000	0.910000	0.987400	0.000000
Q6PEW1	0.000000	0.000000	0.982000	0.700000
Q92613	0.000000	0.800000	0.999784	0.000000
Q99757	0.300000	0.300000	0.800000	0.998320
Q9BQ70	0.000000	0.000000	0.960000	0.000000
Q9H0N5	0.800000	0.800000	0.860000	0.000000
Q9Y2K6	0.800000	0.994120	0.940000	0.000000
Q9Y6M9	0.800000	0.800000	0.000000	0.999970
Q9BQY4	0.000000	0.000000	0.987400	0.000000
Q9C005	0.000000	0.700000	0.999987	0.000000
P0C1Z6	0.000000	0.910000	0.999971	0.000000
Q15311	0.800000	0.997480	0.940000	0.000000
Q504U0	0.000000	0.790000	0.800000	0.000000
P63211	0.800000	0.700000	0.000000	0.000000
